customer_id,customer_name,email,registration_date,customer_type
1,Suresh Sharma,suresh.sharma617@gmail.com,2026-05-21 20:43:57,REGULAR
2,Nikita Rathi,nikita.rathi226@rediffmail.com,2026-07-04 09:25:01,REGULAR
3,Sunita Rathore,sunita.rathore433@outlook.com,2025-03-07 15:47:40,REGULAR
4,Aarti Deswal,aarti.deswal95@rediffmail.com,2024-05-30 05:50:52,REGULAR
5,Deepak Kapoor,deepak.kapoor45@rediffmail.com,2026-04-13 00:01:56,REGULAR
6,Riya Yadav,riya.yadav301@hotmail.com,2025-07-15 18:43:51,REGULAR
7,Diya Mehta,diya.mehta234@outlook.com,2024-05-03 22:51:37,PREMIUM
8,Ritu Bishnoi,ritu.bishnoi465@outlook.com,2024-09-09 16:11:03,REGULAR
9,Manoj Rathore,manoj.rathore960@gmail.com,2024-09-22 20:30:40,REGULAR
10,Harsh Malik,harsh.malik277@hotmail.com,2024-12-07 03:50:49,PREMIUM
11,Aadhya Saharan,aadhya.saharan842@gmail.com,2025-05-05 00:56:31,REGULAR
12,Lakshay Joshi,lakshay.joshi323@yahoo.com,2026-02-14 12:41:25,REGULAR
13,Vandana Godara,vandana.godara272@yahoo.com,2025-01-18 02:56:23,PREMIUM
14,Kiran Nair,kiran.nair409@outlook.com,2024-12-06 16:52:13,VIP
15,Kabir Chahar,kabir.chahar774@gmail.com,2024-06-19 08:00:57,REGULAR
16,Nitin Iyer,nitin.iyer66@rediffmail.com,2025-08-15 19:47:53,REGULAR
17,Deepak Yadav,deepak.yadav882@gmail.com,2024-06-26 22:47:54,PREMIUM
18,Shreya Agarwal,shreya.agarwal657@outlook.com,2024-06-22 06:57:59,REGULAR
19,Aarav Mishra,aarav.mishra897@outlook.com,2026-02-16 15:12:10,PREMIUM
20,Priya Kumar,priya.kumar306@hotmail.com,2024-11-04 23:56:36,REGULAR
21,Nikita Agarwal,nikita.agarwal945@hotmail.com,2024-01-01 21:19:18,REGULAR
22,Krishna Ahlawat,krishna.ahlawat900@outlook.com,2025-01-06 23:25:45,REGULAR
23,Riya Chahar,riya.chahar750@rediffmail.com,2024-04-17 12:25:46,VIP
24,Pooja Beniwal,pooja.beniwal676@rediffmail.com,2026-05-04 02:09:49,REGULAR
25,Kiran Kajla,kiran.kajla952@hotmail.com,2024-11-08 11:27:18,PREMIUM
26,Ajay Kharb,ajay.kharb922@,2024-07-06 23:21:48,REGULAR
27,Vivaan Nair,vivaan.nair568@yahoo.com,2026-07-03 02:38:15,REGULAR
28,Vihaan Saharan,vihaan.saharan70@gmail.com,2025-05-28 07:16:01,REGULAR
29,Kabir Kajla,kabir.kajla553@yahoo.com,2026-06-06 02:01:46,REGULAR
30,Dev Kapoor,dev.kapoor417@yahoo.com,2024-05-26 12:43:14,REGULAR
31,Nitin Rathi,nitin.rathi479@,2024-03-25 03:38:53,PREMIUM
32,Priya Dhaka,priya.dhaka413@outlook.com,2024-06-18 17:50:41,REGULAR
33,Yash Beniwal,yash.beniwal433rediffmail.com,2025-01-23 01:27:33,PREMIUM
34,Om Deswal,om.deswal52@hotmail.com,2024-01-23 22:12:45,VIP
35,Swati Poonia,swati.poonia417@rediffmail.com,2026-01-17 18:20:33,REGULAR
36,Vihaan Poonia,vihaan.poonia389@gmail.com,2025-08-29 11:58:41,REGULAR
37,Vandana Kadyan,vandana.kadyan434@hotmail.com,2026-01-26 00:25:31,REGULAR
38,Vihaan Nair,vihaan.nair754@hotmail.com,2024-04-04 16:39:46,PREMIUM
39,Tarun Pilania,tarun.pilania515@hotmail.com,2024-09-01 13:31:03,REGULAR
40,Anjali Shivran,anjali.shivran610@gmail.com,2024-12-31 09:02:12,REGULAR
41,Rachna Kaswan,rachna.kaswan593@hotmail.com,2024-03-02 17:40:35,PREMIUM
42,Tarun Reddy,tarun.reddy536@outlook.com,2025-02-09 02:02:59,REGULAR
43,Swati Jakhar,swati.jakhar406@yahoo.com,2025-04-11 00:42:06,REGULAR
44,Isha Bhaskar,isha.bhaskar470@hotmail.com,2026-05-24 13:55:27,VIP
45,Amit Sharma,amit.sharma272@yahoo.com,2025-06-26 03:59:32,PREMIUM
46,Preeti Kadyan,preeti.kadyan162@rediffmail.com,2026-04-23 20:38:00,PREMIUM
47,Sonal Bhaskar,sonal.bhaskar684@hotmail.com,2025-04-10 01:38:55,VIP
48,Ishaan Jakhar,ishaan.jakhar119@gmail.com,2026-05-09 09:40:20,REGULAR
49,Amit Joshi,amit.joshi352@yahoo.com,2025-02-14 02:01:59,REGULAR
50,Vihaan Chahar,vihaan.chahar650@rediffmail.com,2025-03-05 19:23:11,REGULAR
51,Ishaan Kumar,ishaan.kumar269@yahoo.com,2025-11-17 08:49:18,REGULAR
52,Aarav Sangwan,aarav.sangwan78@yahoo.com,2026-04-27 13:04:49,REGULAR
53,Om Godara,om.godara441@yahoo.com,2024-03-05 23:29:34,REGULAR
54,Diya Dalal,diya.dalal216@yahoo.com,2024-06-08 16:25:26,REGULAR
55,Manisha Singh,manisha.singh768@yahoo.com,2025-01-02 18:12:26,PREMIUM
56,Anjali Rathi,anjali.rathi26@yahoo.com,2025-05-31 00:46:18,PREMIUM
57,Rajesh Bishnoi,rajesh.bishnoi164@gmail.com,2025-08-17 06:11:20,PREMIUM
58,Rekha Nain,rekha.nain837@rediffmail.com,2025-06-27 04:12:39,REGULAR
59,Rekha Saharan,rekha.saharan25@yahoo.com,2025-09-10 23:53:18,REGULAR
60,Shreya Dalal,shreya.dalal657@hotmail.com,2025-09-12 21:05:24,PREMIUM
61,Aarti Bhukar,aarti.bhukar119@outlook.com,2024-10-04 09:29:26,REGULAR
62,Diya Deswal,diya.deswal611@rediffmail.com,2025-06-21 00:08:58,PREMIUM
63,Vikas Sharma,vikas.sharma119@rediffmail.com,2026-06-14 16:45:37,REGULAR
64,Nitin Bhaskar,nitin.bhaskar533@hotmail.com,2024-11-02 02:00:07,REGULAR
65,Anil Singh,anil.singh322@gmail.com,2025-04-11 12:49:32,REGULAR
66,Pallavi Dahiya,pallavi.dahiya714@outlook.com,2026-05-11 05:59:43,REGULAR
67,Vijay Chauhan,vijay.chauhan767@yahoo.com,2026-06-03 01:46:54,REGULAR
68,Saanvi Balhara,saanvi.balhara294@yahoo.com,2025-10-29 19:23:30,PREMIUM
69,Pallavi Lohan,pallavi.lohan453@rediffmail.com,2024-11-27 23:21:56,REGULAR
70,Sunita Mehta,sunita.mehta87@outlook.com,2026-03-11 17:26:37,PREMIUM
71,Riya Pandey,riya.pandey241@outlook.com,2024-12-14 23:12:39,PREMIUM
72,Aditya Kaswan,aditya.kaswan487@hotmail.com,2024-04-23 03:13:59,REGULAR
73,Rachna Nain,rachna.nain736@rediffmail.com,2026-02-06 23:43:00,REGULAR
74,Aarav Pandey,aarav.pandey882@gmail.com,2025-10-22 10:35:56,REGULAR
75,Sonal Lohan,sonal.lohan52@hotmail.com,2025-01-22 02:47:06,VIP
76,Ishaan Kapoor,ishaan.kapoor476@hotmail.com,2026-05-18 06:14:42,REGULAR
77,Sapna Singh,sapna.singh835@hotmail.com,2025-10-24 22:02:54,PREMIUM
78,Sunita Tiwari,sunita.tiwari883@rediffmail.com,2025-11-30 03:49:00,REGULAR
79,Manoj Agarwal,manoj.agarwal797@hotmail.com,2026-01-22 19:05:10,PREMIUM
80,Arjun Joshi,arjun.joshi293@yahoo.com,2025-02-26 02:16:24,REGULAR
81,Riya Beniwal,riya.beniwal155@yahoo.com,2025-08-18 00:35:26,PREMIUM
82,Isha Rathi,isha.rathi418@outlook.com,2026-04-22 22:00:34,REGULAR
83,Gaurav Malik,gaurav.malik927@hotmail.com,2024-01-31 08:12:14,PREMIUM
84,Ritu Pilania,ritu.pilania7@outlook.com,2025-04-08 21:05:11,PREMIUM
85,Manisha Gupta,manisha.gupta766@hotmail.com,2026-07-26 02:53:11,PREMIUM
86,Manoj Tanwar,manoj.tanwar498@gmail.com,2025-08-27 01:38:50,REGULAR
87,Jyoti Mishra,jyoti.mishra170@rediffmail.com,2024-07-17 06:18:32,VIP
88,Jyoti Nair,jyoti.nair578@gmail.com,2024-05-10 09:47:17,PREMIUM
